rank,country,uid,name,accuracy,play count,level,pp,SS,S,A
1,kr,124493,Cookiezi,98.89%,14083,100,13355,50,419,302
2,kr,1777162,Angelsim,98.86%,123552,103,12942,159,1362,666
3,pl,2558286,Rafis,99.03%,205273,103,12935,169,1632,764
4,us,4787150,Vaxei,98.01%,88265,100,12648,32,515,537
5,tw,50265,hvick225,98.93%,134045,102,12421,826,3463,700
6,fr,2831793,filsdelama,98.59%,113210,102,12190,194,1504,590
7,ru,652457,_index,98.74%,55983,102,11311,425,1495,472
8,de,754565,Dustice,98.89%,83504,101,11207,109,2241,1326
9,gb,2204373,Spare,99.22%,56326,101,11072,306,1164,837
10,us,1419095,Gayzmcgee,99.24%,78142,101,11040,29,655,704
11,ro,3219026,Rohulk,99.24%,34444,102,10819,39,1599,1748
12,us,256802,HappyStick,98.58%,168209,104,10817,132,2139,478
13,fr,251683,Musty,99.26%,99853,102,10756,109,1679,1291
14,fi,3110552,Sanze,99.18%,153091,101,10714,110,1359,1032
15,jp,4183454,-Zirba-,98.83%,78811,100,10655,40,828,807
16,us,2757689,Toy,99.43%,165765,103,10627,2670,2877,640
17,pt,4495871,Mizuru,99.08%,80810,101,10613,83,900,936
18,us,2614511,Axarious,97.24%,62671,101,10610,35,852,467
19,jp,1787027,Recia,98.88%,96854,103,10603,655,2609,172
20,pl,2021758,Wilchq,99.27%,77023,105,10601,1147,3236,250
21,ru,1389663,talala,98.67%,186656,103,10592,127,2328,1473
22,no,84841,CXu,99.07%,104105,102,10579,864,3563,111
23,cl,3069354,DanyL,97.29%,74790,101,10566,79,795,277
24,pl,613592,Adamqs,99.42%,129736,102,10557,138,1592,898
25,sg,2003326,Emilia,96.44%,67792,100,10550,33,1003,866
26,lt,2562987,Azerite,98.36%,50264,100,10509,22,334,693
27,kr,3179601,Tarulas,98.84%,80436,101,10464,49,1068,515
28,cl,5339515,Mathi,98.64%,87483,101,10360,26,564,510
29,kr,1883865,Yaong,99.39%,95668,103,10288,444,1629,782
30,us,4650315,[Toy]s our boy,98.82%,36606,101,10282,14,448,353
31,cn,227717,Totori,97.96%,64923,101,10237,139,2146,951
32,br,1558603,MouseEasy,97.92%,109539,101,10198,236,1397,1067
33,pl,39828,WubWoofWolf,99.32%,204194,105,10191,6724,8539,1694
34,us,3099689,Xilver,99.54%,190929,104,10126,148,1352,690
35,nz,3934999,Ayachi Nene,99.14%,71257,101,10090,376,1345,533
36,jp,2148231,kuu01,98.43%,108611,101,10059,46,1142,1531
37,kr,948713,Reimu-Desu,99.40%,106203,102,10058,275,1776,559
38,ca,2155578,Azer,99.08%,74698,101,10019,193,1038,696
39,de,537084,DoKito,99.37%,67419,101,9966,105,1770,1343
40,kr,2258797,-Konpaku-,98.97%,73666,101,9959,67,1055,902
41,jp,1208858,Vettel,99.04%,210053,103,9938,304,1977,1061
42,us,3221564,i suck,98.20%,70933,100,9914,37,484,680
43,us,3126596,Mlaw22,99.16%,83944,103,9909,194,2693,1227
44,de,2438122,Beafowl,99.43%,96771,103,9904,290,857,344
45,fr,1545031,My Angel Serena,97.84%,111807,102,9847,151,1596,738
46,pl,27055,Salieri,98.81%,120265,101,9827,127,1860,1281
